id,lesson_number,title,content,example_one,example_two,supporting_content,jlpt_level,category,related_grammar_references,related_kanji_references,related_vocab_references,difficulty_order,unlocks_content,origin
g078,78,"Past Tense Short Forms — い-Adjectives","Past affirmative short form: drop い and add かった. Past negative short form: drop い and add くなかった.","昨日は寒かった。(きのうはさむかった。) — It was cold yesterday. (casual)","そんなに高くなかった。(そんなにたかくなかった。) — It wasn't that expensive. (casual)","These are the same forms as polite past but without です at the end: 寒かったです (polite) vs 寒かった (casual). Both the affirmative and negative forms serve as the base for many advanced grammar patterns.",N4,short-forms,,,,78,g079,user-title-ai-content
g079,79,"Past Tense Short Forms — な-Adjectives","Past affirmative short form: adjective plus だった. Past negative short form: adjective plus じゃなかった or ではなかった.","子供の頃、ここは静かだった。(こどものころ、ここはしずかだった。) — This place used to be quiet when I was a child.","思ったよりきれいじゃなかった。(おもったよりきれいじゃなかった。) — It wasn't as pretty as I expected.","These forms are identical to nouns in the past short form — な-adjectives and nouns share the same conjugation pattern for all tenses in short form.",N4,short-forms,,,,79,g080,user-title-ai-content
g080,80,"Past Tense Short Forms — Nouns","Past affirmative short form: noun plus だった. Past negative short form: noun plus じゃなかった or ではなかった.","昔、彼は学生だった。(むかし、かれはがくせいだった。) — He used to be a student.","それは本当じゃなかった。(それはほんとうじゃなかった。) — That wasn't true.","Noun past short forms: [noun]だった (past affirmative) / [noun]じゃなかった (past negative). The structure is identical to な-adjective past short forms.",N4,short-forms,,,,80,g081,user-title-ai-content
g081,81,"Past Tense Short Forms Used Informally","In casual conversation, past short forms replace the polite past forms ました and でした. With rising intonation or か they form casual past questions. They also serve as the foundation for many advanced grammar patterns in later lessons.","昨日、何した？(きのう、なにした？) — What did you do yesterday?","もう食べた。(もうたべた。) — I already ate.","Short past forms are indispensable for natural casual conversation and are the building block for patterns such as たことがある (Lesson 101), the たら conditional, and たり〜たりする (Lesson 100).",N4,short-forms,,,,81,g082,user-title-ai-content
g082,82,"Saying What You Think Happened — ~と思います (Past)","To express an opinion about something in the past, use the past short form plus と思います. The clause uses the past tense to reflect that the event already occurred, while と思います stays present because it expresses your current belief about the past.","田中さんはもう帰ったと思います。(たなかさんはもうかえったとおもいます。) — I think Tanaka has already gone home.","それは間違いだったと思います。(それはまちがいだったとおもいます。) — I think that was a mistake.","The clause before と uses whatever tense matches its meaning. と思います itself always stays in the present because it describes your current state of thinking.",N4,sentence-structure,,,,82,g083,user-title-ai-content
g083,83,"Quoting What Someone Said — ~と言っていました","When reporting what someone said using plain form quotes, the quoted content uses the appropriate short form tense to match what was actually communicated, while と言っていました frames it as reported speech.","彼は仕事が大変だと言っていました。(かれはしごとがたいへんだといっていました。) — He said his job was tough.","先生は明日テストがあると言っていました。(せんせいはあしたてすとがあるといっていました。) — The teacher said there would be a test tomorrow.","Direct quote: 「明日来ます」と言いました — Said 'I will come tomorrow'. Indirect quote: 明日来ると言っていました — Said that they would come tomorrow. Short form is standard in indirect quotes.",N4,sentence-structure,,,,83,g084,user-title-ai-content
g084,84,"Describing Nouns With Adjectives","Adjectives in their short form — including past and negative forms — can directly precede a noun to modify it. This allows complex noun phrases such as 'a room that is not expensive' or 'a movie that was boring'.","高くない店 (たかくないみせ) — a store that is not expensive","有名な人 (ゆうめいなひと) — a famous person / 有名じゃない人 (ゆうめいじゃないひと) — a person who is not famous","い-adj modifying a noun: plain form in any tense + noun. な-adj modifying a noun: [adj]な + noun (affirmative) / [adj]じゃない + noun (negative) / [adj]だった + noun (past).",N4,adjectives,,,,84,g085,user-title-ai-content
g085,85,"Describing Nouns With Adjectives and Verbs","Verbs in their short form can also precede a noun to create relative clauses — the equivalent of 'who', 'that', or 'which' in English. Japanese places the entire modifying clause before the noun with no separate relative pronoun.","昨日読んだ本 (きのうよんだほん) — the book that I read yesterday","日本語を話す人 (にほんごをはなすひと) — a person who speaks Japanese","Any verb in any short form tense can precede a noun: 食べる人 (person who eats), 食べた人 (person who ate), 食べない人 (person who doesn't eat), 食べなかった人 (person who didn't eat). This pattern is one of the most powerful in Japanese.",N4,adjectives,,,,85,g086,user-title-ai-content
g086,86,"Saying an Event Happened — ~ました・もう~ました","ました states that an action occurred in the past. Adding もう (already) before the verb adds the nuance that the action is already completed — often used in response to an expectation or a question.","宿題をしました。(しゅくだいをしました。) — I did my homework.","もう食べました。(もうたべました。) — I have already eaten.","もう in the affirmative means 'already' (completed). もう in the negative — まだ〜ていません (Lesson 87) — means 'not yet'. These two naturally pair together in conversation about completed versus pending actions.",N4,verb-conjugation,,,,86,g087,user-title-ai-content
g087,87,"Saying an Event Has Not Happened — ~ていません・まだ~ていません","ていません states that an action has not been done or is not currently in progress. まだ (yet) plus ていません emphasises that the action has not happened yet — often implying it was expected to have occurred by now.","宿題はまだしていません。(しゅくだいはまだしていません。) — I haven't done my homework yet.","映画はもう見ましたか。いいえ、まだ見ていません。— Have you already seen the movie? No, not yet.","もう〜ましたか (have you already ~?) pairs naturally with まだ〜ていません (not yet). Together they form the backbone of conversations about whether tasks or events have been completed.",N4,te-form,,,,87,g088,user-title-ai-content
g088,88,"Explaining a Situation Using ~から in One Sentence","から connects a reason and its result within a single sentence. The reason clause comes first in plain or polite form followed by から, then the result. The formality of から adapts to the surrounding speech level.","眠いから、早く寝ます。(ねむいから、はやくねます。) — Since I'm sleepy, I'll sleep early.","雨が降りそうだから、傘を持っていこう。(あめがふりそうだから、かさをもっていこう。) — Since it looks like rain, let's bring an umbrella.","Compare から (more subjective, casual reason — personal justification or excuse) with ので (Lesson 105, more objective, formal reason — a logical or situational given). Choose based on register and the nature of the explanation.",N4,sentence-structure,,,,88,g089,user-title-ai-content
g089,89,"Comparing Two Items — ~のほうが・~より","To compare two items, use A のほうが B より [adjective] — 'A is more [adjective] than B'. のほうが marks the item with more of the quality; より marks the item it is being compared against.","猫のほうが犬より静かです。(ねこのほうがいぬよりしずかです。) — Cats are quieter than dogs.","電車のほうがバスより速いです。(でんしゃのほうがばすよりはやいです。) — Trains are faster than buses.","より can appear separately for emphasis: 電車のほうが速い。バスより。— Trains are faster. Compared to buses. Japanese adjectives do not change form in comparisons — no more or most equivalent is needed.",N4,comparison,,,,89,g090,user-title-ai-content
g090,90,"Asking to Compare Two Items — どちらのほうが・どっちのほうが","To ask which of two items has more of a quality, use どちらのほうが (formal) or どっちのほうが (casual) plus an adjective plus ですか, with the two items listed using と.","犬と猫とどちらのほうが好きですか。(いぬとねことどちらのほうがすきですか。) — Which do you like better, dogs or cats?","東京と大阪とどっちのほうが大きいですか。(とうきょうとおおさかとどっちのほうがおおきいですか。) — Which is bigger, Tokyo or Osaka?","どちら is the formal/neutral form; どっち is casual. Both ask for a choice between exactly two options. For three or more items use the superlative pattern in Lesson 91.",N4,comparison,,,,90,g091,user-title-ai-content
g091,91,"Comparison Among Three or More Items — ~のなかで~いちばん","To express a superlative among a group of three or more, use [group] のなかで [item] がいちばん [adjective] — '[item] is the most [adjective] among [group]'.","果物のなかでりんごがいちばん好きです。(くだもののなかでりんごがいちばんすきです。) — Among fruits, I like apples the most.","このクラスのなかで田中さんがいちばん背が高い。(このくらすのなかでたなかさんがいちばんせがたかい。) — Among this class, Tanaka is the tallest.","To ask the superlative: [group]のなかでなにがいちばん〜ですか。— What is the most ~ among [group]? This naturally extends the two-item comparison from Lesson 89.",N4,comparison,,,,91,g092,user-title-ai-content
g092,92,"Omitting Noun in Adjective + Noun Using の","When the noun being modified is clear from context, it can be replaced by の — turning an adjective plus noun phrase into adjective plus の. This is similar to 'the [adjective] one' in English.","赤いのをください。(あかいのをください。) — Please give me the red one.","大きいのと小さいのとどちらがいいですか。(おおきいのとちいさいのとどちらがいいですか。) — Which would you like, the big one or the small one?","の here substitutes for a known noun. It can follow い-adjectives directly, な-adjectives with な (きれいなの), and even nouns to show possession: 田中さんのは — Tanaka's one.",N4,sentence-structure,,,,92,g093,user-title-ai-content
g093,93,"Saying What You Are Planning to Do — ~つもり","Short form present verb plus つもりです expresses the speaker's intention or plan — 'I intend to ~' or 'I plan to ~'. It conveys a fairly firm intention rather than a vague hope.","来年、日本に行くつもりです。(らいねん、にほんにいくつもりです。) — I intend to go to Japan next year.","今日は家でゆっくりするつもりです。(きょうはいえでゆっくりするつもりです。) — I plan to relax at home today.","Negative intention: ないつもりです — I don't plan to. 今日は勉強しないつもりです。— I don't plan to study today. Past form: つもりでした — I had intended to (but circumstances changed).",N4,expressions,,,,93,g094,user-title-ai-content
g094,94,"Indicating a Change — Adjective + なる","なる (to become) follows adjective forms to express a change of state. い-adjectives: drop い and add くなる. な-adjectives and nouns: add になる.","日本語が上手になりました。(にほんごがじょうずになりました。) — My Japanese has gotten better.","最近、寒くなってきました。(さいきん、さむくなってきました。) — It has been getting cold recently.","Common combinations: 上手になる (to get better at), 好きになる (to come to like), 大人になる (to become an adult), 便利になる (to become convenient). All use the same pattern.",N4,verb-conjugation,,,,94,g095,user-title-ai-content
g095,95,"Saying 'Someone' and 'Not Anyone'","だれか means 'someone' and appears in affirmative statements and questions. だれも plus a negative verb means 'nobody' or 'not anyone'. This mirrors the なにか/なにも pattern from Lesson 75.","誰かが来ました。(だれかがきました。) — Someone came.","誰も来ませんでした。(だれもきませんでした。) — Nobody came.","Full indefinite pronoun set: 誰か (someone) / 誰も+neg (nobody) / 何か (something) / 何も+neg (nothing) / どこか (somewhere) / どこも+neg (nowhere) / どれか (one of them) / どれも+neg (none of them).",N4,question-words,,,,95,g096,user-title-ai-content
g096,96,"Saying 'Somewhere' and 'Not Anywhere'","どこか means 'somewhere' and appears in affirmative statements and questions. どこも plus a negative verb means 'nowhere' or 'not anywhere'.","週末にどこかへ行きましたか。(しゅうまつにどこかへいきましたか。) — Did you go somewhere on the weekend?","今日はどこにも行きません。(きょうはどこにもいきません。) — I'm not going anywhere today.","どこにも and どこへも both work with negative movement verbs. どこにも plus いません = not anywhere (existence). どこへも plus 行きません = not going anywhere (movement direction).",N4,question-words,,,,96,g097,user-title-ai-content
g097,97,"Using で for Means of Transportation","で marks the vehicle or mode of transportation used for an action — 'by/on [transportation]'. This extends the particle's core meaning of 'by means of' to the domain of travel.","電車で東京に行きます。(でんしゃでとうきょうにいきます。) — I go to Tokyo by train.","バスで学校に来ました。(ばすでがっこうにきました。) — I came to school by bus.","Common forms: 電車で (by train), バスで (by bus), タクシーで (by taxi), 飛行機で (by plane), 自転車で (by bicycle). Exception: 歩いて (aruite — by walking) uses the te form of 歩く rather than で.",N4,particles,,,,97,g098,user-title-ai-content
g098,98,"Using で for Tools and Means","で also marks the tool, instrument, or language used to perform an action. This is the same particle as Place of Action (Lesson 25) and Transportation (Lesson 97) — all share the core meaning of 'using' or 'by means of'.","箸で食べます。(はしでたべます。) — I eat with chopsticks.","日本語で話しましょう。(にほんごではなしましょう。) — Let's speak in Japanese.","で as means: 鉛筆で書く (write with a pencil), 電話で話す (talk by phone), 日本語で説明する (explain in Japanese), インターネットで調べる (look up on the internet).",N4,particles,,,,98,g099,user-title-ai-content
g099,99,"Describing a Hope or Aspiration — ~たい","Verb stem plus たい expresses the speaker's desire or wish to do something — 'I want to ~'. たい conjugates like an い-adjective: present negative is たくない, past is たかった, past negative is たくなかった.","日本に行きたいです。(にほんにいきたいです。) — I want to go to Japan.","もっと日本語が話せるようになりたい。(もっとにほんごがはなせるようになりたい。) — I want to get to where I can speak more Japanese.","たい is for the speaker's own desires only. For describing what someone else wants, use たがっている: 彼は行きたがっています — He seems to want to go (he is showing signs of wanting to go).",N4,expressions,,,,99,g100,user-title-ai-content
g100,100,"Mentioning Things in No Set Order — ~たり~たりする","Using the past short form plus り for multiple actions and ending with する (in the appropriate tense) lists activities as representative examples from a larger set — 'doing things like A and B'. The actions are not sequential and the list is not exhaustive.","週末は映画を見たり、友達と話したりします。(しゅうまつはえいがをみたり、ともだちとはなしたりします。) — On weekends I do things like watching movies and talking with friends.","泣いたり笑ったりしました。(ないたりわらったりしました。) — I was going back and forth between crying and laughing.","Pattern: [verb past short]り〜[verb past short]りする. The final する carries the tense for the whole sentence. A minimum of two verbs is standard, though three or more is also common.",N4,expressions,,,,100,g101,user-title-ai-content
g101,101,"Mentioning Something Done in the Past — ~ことがある","Past short form plus ことがある (koto ga aru) expresses that one has had the experience of doing something at some point in one's life — 'have ever done ~'. The negative ことがない means 'have never done ~'.","富士山に登ったことがあります。(ふじさんにのぼったことがあります。) — I have climbed Mt. Fuji before.","刺身を食べたことがありません。(さしみをたべたことがありません。) — I have never eaten sashimi.","ことがある describes lifetime experience, not a specific recent past event. Compare: 食べました (I ate it, simple past) vs 食べたことがあります (I have eaten it at some point in my life, as an experience).",N3,expressions,,,,101,g102,user-title-ai-content
g102,102,"Proposing Examples Using や as a Particle","や lists nouns as examples from a larger group — 'A and B and so on' — implying the list is not exhaustive. This contrasts with と, which lists all items completely. や is used when you want to suggest a representative sample without naming everything.","机の上に本やペンがあります。(つくえのうえにほんやぺんがあります。) — On the desk there are things like books and pens.","果物や野菜を買いました。(くだもののやさいをかいました。) — I bought things like fruit and vegetables.","と = complete list (A and B, that is all). や = partial list (A and B, among others). など (nado — et cetera) is often added after a や list to reinforce the open-ended nature: 本やペンなど。",N4,particles,,,,102,g103,user-title-ai-content
g103,103,"Helping Verb for Excess — ~すぎる","すぎる attached to a verb stem or adjective means 'to do too much of ~' or 'to be too ~'. For verbs: verb stem plus すぎる. For い-adjectives: drop い and add すぎる. For な-adjectives: adjective plus すぎる.","食べすぎました。(たべすぎました。) — I ate too much.","この荷物は重すぎて持てません。(このにもつはおもすぎてもてません。) — This luggage is too heavy to carry.","すぎる conjugates as a ru-verb: すぎます (polite), すぎた (past), すぎて (te form). Example with te form: 飲みすぎて気分が悪いです — I drank too much and feel sick.",N4,verb-conjugation,,,,103,g104,user-title-ai-content
g104,104,"Giving Advice — ~ほうがいいです","To give advice, use the past short form plus ほうがいいです — 'You should ~'. To advise against something, use the present negative short form plus ほうがいいです — 'You'd better not ~'.","早く寝たほうがいいですよ。(はやくねたほうがいいですよ。) — You should sleep early.","無理しないほうがいいです。(むりしないほうがいいです。) — You'd better not push yourself too hard.","Past form plus ほうがいいです = should do (advice to act). Negative present plus ほうがいいです = should not do. The past form here does not indicate past tense — it is a fixed pattern for giving advice.",N4,expressions,,,,104,g105,user-title-ai-content
g105,105,"Explaining a Situation Formally — ~ので","ので is similar to から but more formal and objective. It presents a reason as a natural or logical consequence rather than a personal justification. Short form plus ので connects a cause to its result. ので is preferred in formal writing, professional speech, and polite explanations.","明日は試験があるので、今日は早く帰ります。(あしたはしけんがあるので、きょうははやくかえります。) — Since there is an exam tomorrow, I am going home early today.","電車が遅れたので、遅刻しました。(でんしゃがおくれたので、ちこくしました。) — Because the train was delayed, I was late.","から vs ので: から is more subjective and casual — often a personal reason or excuse. ので is more objective and formal — used when the reason is a logical given. In polite and professional contexts, prefer ので.",N3,sentence-structure,,,,105,g106,user-title-ai-content
g106,106,"Saying You Must Do Something — ~なければいけません (Formal)","Verb negative short form (ない form, remove い) plus ければいけません expresses obligation — 'must do ~' or 'have to do ~'. Literally interpreted: 'if I do not do X, it will not do'.","宿題をしなければいけません。(しゅくだいをしなければいけません。) — I have to do my homework.","もっと練習しなければいけません。(もっとれんしゅうしなければいけません。) — I have to practice more.","Formation: verb ない form → remove い → add ければいけません. Example: 食べない → 食べなければいけません. A fully formal alternative ending: なければなりません, used in official or very stiff registers.",N4,expressions,,,,106,g107,user-title-ai-content
g107,107,"Saying You Must Do Something — ~なきゃいけません (Colloquial)","なきゃいけません is a colloquial contraction of なければいけません with the same meaning — 'have to' or 'must'. In very casual speech it is shortened further to just なきゃ or なくちゃ.","早く行かなきゃいけない！(はやくいかなきゃいけない！) — I have to go quickly!","勉強しなきゃ。(べんきょうしなきゃ。) — I gotta study.","Casual shortening: なければいけません → なきゃいけません → なきゃ (most casual). All mean must or have to. Use なければいけません in formal contexts and なきゃ with close friends.",N4,expressions,,,,107,g108,user-title-ai-content
g108,108,"Asking a Question Politely — ~でしょうか","でしょうか replaces ですか to make a question more formal and polite. It is used in business settings, formal situations, and when addressing strangers or superiors. It softens the directness of a question and signals a high degree of respect.","よろしいでしょうか。(よろしいでしょうか。) — Is that alright? / Would that be okay?","ご出席いただけるでしょうか。(ごしゅっせきいただけるでしょうか。) — Would you be able to attend?","でしょうか also expresses uncertainty or conjecture: 明日は晴れるでしょうか。— I wonder if it will be sunny tomorrow. In this use it can be rhetorical — not expecting a direct answer.",N4,expressions,,,,108,g109,user-title-ai-content
g109,109,"Trying Something Out — ~てみる","Attach てみる to the て-form of a verb to express trying something to see what it is like. The focus is on attempting an action out of curiosity or to test a result. It does not imply the action is difficult — only that you are giving it a go.","この料理を食べてみてください。(このりょうりをたべてみてください。) — Please try eating this dish.","一度日本に行ってみたいです。(いちどにほんにいってみたいです。) — I want to try going to Japan once.","てみる conjugates like a regular る-verb: present てみます, past てみました, negative てみません. It is frequently combined with たい (want) to form てみたい — want to try doing.",N4,verb-forms,,,,109,g110,user-title-ai-content
g110,110,"Finishing / Regretting — ~てしまう","て-form plus しまう has two related meanings: (1) completing an action fully and finally — going ahead and finishing; (2) doing something regrettable or unintentional — ending up doing something by accident. Context determines which reading applies.","宿題をやってしまいました。(しゅくだいをやってしまいました。) — I finished my homework completely.","財布を忘れてしまいました。(さいふをわすれてしまいました。) — I accidentally left my wallet behind.","Colloquial contractions: てしまう → ちゃう, でしまう → じゃう. Example: 食べてしまった → 食べちゃった. These contractions often signal regret or surprise in casual speech.",N4,verb-forms,,,,110,g111,user-title-ai-content
g111,111,"Change Coming Toward Now — ~てくる","て-form plus くる expresses a change or action that began in the past and continues toward the present, or movement toward the speaker. It can indicate: (1) a gradual change up to now; (2) going to do something and coming back; (3) a state that developed over time.","日本語が少し上手になってきました。(にほんごがすこしじょうずになってきました。) — My Japanese has been getting a little better.","コーヒーを買ってきます。(コーヒーをかってきます。) — I will go buy coffee and come back.","Compare てくる (toward now/speaker) vs ていく (away from now/speaker). 暗くなってきた — it has been getting dark (up to now). 暗くなっていく — it is going to get darker (from now on).",N4,verb-forms,,,,111,g112,user-title-ai-content
g112,112,"Change Moving Away — ~ていく","て-form plus いく expresses a change that starts now and continues into the future, or movement away from the speaker. It indicates: (1) a gradual change from now onward; (2) going somewhere to do something and not necessarily returning; (3) a state developing away from the current point.","これから寒くなっていくでしょう。(これからさむくなっていくでしょう。) — It will probably keep getting colder from now on.","お弁当を持っていきます。(おべんとうをもっていきます。) — I will take my lunch box with me.","てくる focuses on change arriving at the present; ていく focuses on change departing into the future. Both can be used with movement verbs literally: 走ってきた — came running; 走っていった — went running away.",N4,verb-forms,,,,112,g113,user-title-ai-content
g113,113,"Giving and Receiving — あげる / もらう / くれる","Japanese has three core giving-and-receiving verbs that depend on who gives and who receives. あげる: the subject gives to someone else. もらう: the subject receives from someone. くれる: someone gives to me or my in-group. The choice of verb encodes the direction of the exchange from the speaker's perspective.","友達にプレゼントをあげました。(ともだちにプレゼントをあげました。) — I gave a present to my friend.","先生に本をもらいました。(せんせいにほんをもらいました。) — I received a book from the teacher.","くれる example: 田中さんがケーキをくれました。— Mr Tanaka gave me a cake. The speaker is the recipient with くれる. Use に for the receiver with あげる, and に or から for the giver with もらう.",N4,expressions,,,,113,g114,user-title-ai-content
g114,114,"Doing Favours — ~てあげる / ~てもらう / ~てくれる","Attach giving-and-receiving verbs to the て-form to express doing or having done a favour. ~てあげる: I do something for someone else. ~てもらう: I have someone do something for me. ~てくれる: someone does something for me as a favour.","荷物を運んであげました。(にもつをはこんであげました。) — I carried the luggage for her.","先生に説明してもらいました。(せんせいにせつめいしてもらいました。) — I had the teacher explain it to me.","くれる example: 友達が手伝ってくれた — my friend helped me as a favour. When てあげる sounds condescending, use てくれませんか instead. てもらえますか is a polite way to ask someone to do something for you.",N4,expressions,,,,114,g115,user-title-ai-content
g115,115,"Before Doing Something — ~前に","Verb dictionary form plus 前に (まえに) means before doing something. Unlike て-form sequences, the verb before 前に always uses the dictionary form regardless of when the action occurs — it does not change to match the tense of the main clause.","寝る前に歯を磨きます。(ねるまえにはをみがきます。) — I brush my teeth before going to sleep.","旅行する前に地図を確認しました。(りょこうするまえにちずをかくにんしました。) — I checked the map before travelling.","Contrast: verb-た + 後で (after doing). The verb before 前に is always in dictionary form even in past-tense sentences: 食べる前に手を洗った — I washed my hands before eating. Noun + の前に is also possible: 授業の前に — before class.",N4,time-expressions,,,,115,g116,user-title-ai-content
g116,116,"After Doing — ~てから","て-form plus から means after doing something, then something else. It expresses a sequence where the first action must be completed before the second begins. てから emphasises the order of events more explicitly than just using the て-form alone.","シャワーを浴びてから、朝ごはんを食べます。(シャワーをあびてから、あさごはんをたべます。) — After taking a shower, I eat breakfast.","考えてから返事します。(かんがえてからへんじします。) — I will reply after thinking about it.","Compare with 後で (after / later): てから emphasises sequential order (A, then B); 後で is more loosely at some later point. また後で連絡します — I will contact you later. 食べてから連絡します — I will contact you after eating.",N4,time-expressions,,,,116,g117,user-title-ai-content
g117,117,"After / Later — ~後で","Verb past short form plus 後で (あとで) means after doing something or later. Noun plus の後で means after a noun. 後で on its own means later without specifying what comes before. The nuance is looser than てから — it does not strongly imply an unbroken sequence.","食べた後で、散歩しましょう。(たべたあとで、さんぽしましょう。) — Let us take a walk after eating.","後で電話します。(あとででんわします。) — I will call later.","後で vs てから: 食べてから行く — go right after eating (ordered sequence). 食べた後で行く — go after eating, possibly with a gap. 授業の後で — after class (noun form). 後ほど is a more formal equivalent used in business.",N4,time-expressions,,,,117,g118,user-title-ai-content
g118,118,"When / At the Time — ~とき","とき (時) attached to a verb or adjective means when or at the time of. The tense of the verb before とき matters: dictionary form before とき means the main action happens during the described state; past form before とき means the main action happens after the described action is completed.","子どものとき、よく泳ぎました。(こどものとき、よくおよぎました。) — When I was a child, I often swam.","日本に来るとき、辞書を買いました。(にほんにくるとき、じしょをかいました。) — When coming to Japan, I bought a dictionary (before arriving).","Tense contrast: 日本に来たとき — when I arrived in Japan (already there). 日本に来るとき — before arriving in Japan. Noun + の + とき: 雨のとき — when it rains. い-adj plain form + とき: 暑いとき — when it is hot.",N4,time-expressions,,,,118,g119,user-title-ai-content
g119,119,"Doing Two Things Simultaneously — ~ながら","Verb masu-stem plus ながら expresses doing two actions at the same time. The main focus is the second (main) verb; ながら describes a simultaneous background action. Both actions must be performed by the same subject.","音楽を聴きながら、勉強します。(おんがくをききながら、べんきょうします。) — I study while listening to music.","歩きながら電話しないでください。(あるきながらでんわしないでください。) — Please do not talk on the phone while walking.","Formation: masu-stem + ながら (e.g., 飲みます → 飲みながら). The main activity comes after ながら. Both actions share the same subject — you cannot use ながら when two different people do different actions. For different subjects, use 〜ているとき or 〜ているあいだ.",N4,verb-forms,,,,119,g120,user-title-ai-content
g120,120,"The たら Conditional — ~たら","Verb past short form plus ら forms the たら conditional. It means if or when something happens. たら is the most versatile conditional: it covers hypothetical situations, sequential events, and completed-action conditions. It often implies that the first action is completed before the second occurs.","雨が降ったら、出かけません。(あめがふったら、でかけません。) — If it rains, I will not go out.","家に帰ったら、電話してください。(いえにかえったら、でんわしてください。) — When you get home, please call me.","Formation: た-form + ら. い-adj: 安かったら (if cheap). な-adj/noun: 暇だったら (if free). たら is used for a one-time future event or a completed hypothetical. Compare: と (natural consequence, habitual), ば (hypothetical), なら (conditional on new information).",N4,conditionals,,,,120,g121,user-title-ai-content
g121,121,"The ば Conditional — ~ば","The ば conditional expresses if A then B with an emphasis on a hypothetical or ideal condition. It often appears in proverbs, general truths, and situations where if the condition is met, the result naturally follows.","春になれば、花が咲きます。(はるになれば、はながさきます。) — If spring comes, the flowers will bloom.","もっと練習すれば、上手になりますよ。(もっとれんしゅうすれば、じょうずになりますよ。) — If you practice more, you will improve.","Formation for u-verbs: change final う to えば row (書く→書けば, 飲む→飲めば). Ru-verbs: remove る + れば (食べる→食べれば). する→すれば, くる→くれば. い-adj: remove い + ければ (高い→高ければ). ば is not used when the main clause is a command or strong volition directed at the speaker.",N4,conditionals,,,,121,g122,user-title-ai-content
g122,122,"The と Conditional — ~と","Verb or adjective in plain form plus と expresses an automatic or natural consequence — if or when A, B always results. It is used for natural laws, habitual facts, directions, and instructions. It cannot be used when the main clause contains a command, request, or volitional expression.","春になると、桜が咲きます。(はるになると、さくらがさきます。) — When spring comes, the cherry blossoms bloom.","この道をまっすぐ行くと、駅に着きます。(このみちをまっすぐいくと、えきにつきます。) — If you go straight down this road, you will reach the station.","と is used when A reliably leads to B — not for one-off future decisions. The main clause cannot end in a volition, command, or request. Use たら or ば for those situations. Compare: 春になったら花が咲く — if spring comes (one-time event).",N4,conditionals,,,,122,g123,user-title-ai-content
g123,123,"The なら Conditional — ~なら","なら follows a plain form noun, verb, or adjective and means if that is the case or if it is true that. It is typically triggered by information the speaker has just received or assumed — responding to a premise. It is not about physical consequences but about taking a position given new information.","日本に行くなら、京都がおすすめです。(にほんにいくなら、きょうとがおすすめです。) — If you are going to Japan, I recommend Kyoto.","病気なら、早く帰ってください。(びょうきなら、はやくかえってください。) — If you are sick, please go home early.","なら uniquely allows the speaker to make a recommendation based on an assumed premise. Unlike と or たら, the なら clause does not need to occur before the main clause chronologically. Often used in advice-giving: 魚なら新鮮なうちに食べて — if it is fish, eat it while fresh.",N4,conditionals,,,,123,g124,user-title-ai-content
g124,124,"Expressing Possibility — ~かもしれない","Plain form plus かもしれない (formal: かもしれません) expresses possibility or uncertainty — might / may / possibly. The speaker is genuinely unsure and is hedging their statement. It indicates a real possibility without strong confidence either way.","明日は雨かもしれません。(あしたはあめかもしれません。) — It might rain tomorrow.","彼はもう知っているかもしれない。(かれはもうしっているかもしれない。) — He might already know.","Attach to verb/い-adj plain form, or na-adj/noun + かもしれない (without だ). Example: 静かかもしれない (not 静かだかもしれない). Compared to でしょう (leaning toward certainty) and はずだ (logical expectation), かもしれない sits at the uncertain end of the spectrum.",N4,expressions,,,,124,g125,user-title-ai-content
g125,125,"Expressing Probability — ~でしょう","でしょう (casual: だろう) follows the plain form of a verb, adjective, or noun and expresses a fairly confident conjecture or prediction — probably / I think / it seems likely. The speaker bases their assessment on available evidence or general knowledge.","明日は晴れるでしょう。(あしたははれるでしょう。) — It will probably be sunny tomorrow.","彼女は今、忙しいでしょう。(かのじょはいま、いそがしいでしょう。) — She is probably busy right now.","でしょう is stronger than かもしれない (may) but weaker than はずだ (should logically be). Rising intonation on でしょう? turns it into a confirmation question — right? / is that not so? Casual form だろう is used by men in informal speech.",N4,expressions,,,,125,g126,user-title-ai-content
g126,126,"Expressing Expectation — ~はずだ","はず is a noun meaning expectation or supposed outcome. Plain form plus はずだ (formal: はずです) states that something should logically be the case based on knowledge or reasoning. It conveys that the speaker is confident based on evidence or prior information.","彼は今日来るはずです。(かれはきょうくるはずです。) — He should be coming today (I know he planned to).","この薬を飲めば、よくなるはずです。(このくすりをのめば、よくなるはずです。) — If you take this medicine, you should get better.","はずがない is the negative form — there is no way / cannot possibly be: 彼が嘘をつくはずがない — there is no way he would lie. Unlike でしょう (general guess), はずだ is based on specific reasoning. If the expected outcome is wrong, use はずだったのに — it was supposed to be, but...",N4,expressions,,,,126,g127,user-title-ai-content
